model,annotation,tau,p
Sem-nCG@3_distil,coherence,0.013346294429968188,0.8984911428779115
Sem-nCG@3_distil,consistency,-0.005869672708837492,0.9598397505177182
Sem-nCG@3_distil,fluency,0.12027163756321535,0.295187482683659
Sem-nCG@3_distil,relevance,0.02249329529805969,0.8309190888852513
Sem-nCG@3_sbert-mini,coherence,0.02717482859210915,0.40331743563735967
Sem-nCG@3_sbert-mini,consistency,0.0035167419063087267,0.9228806909471641
Sem-nCG@3_sbert-mini,fluency,-0.06152325894792486,0.08482394834840226
Sem-nCG@3_sbert-mini,relevance,0.007827661959238877,0.8123351260786662
Sem-nCG@3_sbert-l,coherence,0.0141509827535445,0.8919042006294244
Sem-nCG@3_sbert-l,consistency,0.02187974872468418,0.8504076617520578
Sem-nCG@3_sbert-l,fluency,0.11698194678134555,0.30629313376690437
Sem-nCG@3_sbert-l,relevance,0.02861938065311975,0.7848876484188265
Sem-nCG@3_roberta,coherence,-0.03555950331856751,0.7338100274537243
Sem-nCG@3_roberta,consistency,0.12462324995041223,0.28476678558358814
Sem-nCG@3_roberta,fluency,0.11370752333590084,0.322080803338059
Sem-nCG@3_roberta,relevance,-0.06202809157618262,0.5557819962083133
Sem-nCG@3_simcse,coherence,0.025769563368433644,0.8052169085225868
Sem-nCG@3_simcse,consistency,0.055689986267252176,0.6324218848893086
Sem-nCG@3_simcse,fluency,0.11882497255779062,0.3004607722224991
Sem-nCG@3_simcse,relevance,-0.0053914296940783925,0.9591347386591615
Sem-nCG@3_use,coherence,0.029412559092429395,0.778814061595217
Sem-nCG@3_use,consistency,0.054388245463501565,0.6411207497476116
Sem-nCG@3_use,fluency,0.15804819367663797,0.16935696821521307
Sem-nCG@3_use,relevance,-0.023433429604869622,0.8241312738935298
Sem-nCG@3_olmo-2-1b,coherence,0.03098165336766119,0.7662400484036789
Sem-nCG@3_olmo-2-1b,consistency,0.02335828649895135,0.840552554981294
Sem-nCG@3_olmo-2-1b,fluency,0.06947701308530027,0.5437711236318232
Sem-nCG@3_olmo-2-1b,relevance,0.02953888648315198,0.7783196306743632
Sem-nCG@3_openelm,coherence,0.10846307816566748,0.29645554513070194
Sem-nCG@3_openelm,consistency,0.029086486358157505,0.8015648580490409
Sem-nCG@3_openelm,fluency,0.15252274352231626,0.1812068591709981
Sem-nCG@3_openelm,relevance,0.03299302771212145,0.7524464120498947
Sem-nCG@3_llama3.2,coherence,0.01146842967520062,0.9121200256117221
Sem-nCG@3_llama3.2,consistency,0.074201935152364,0.5215450424378039
Sem-nCG@3_llama3.2,fluency,0.1295068709670688,0.25638712090644067
Sem-nCG@3_llama3.2,relevance,0.09277641280027411,0.3752375373020187
Sem-nCG@3_gemma-3-1b-it,coherence,-0.031866843463880086,0.7597528928463869
Sem-nCG@3_gemma-3-1b-it,consistency,0.007299464530922297,0.9498669339088267
Sem-nCG@3_gemma-3-1b-it,fluency,0.0038598340602944603,0.973092041107446
Sem-nCG@3_gemma-3-1b-it,relevance,-0.15933096345457734,0.128884063863671
Sem-nCG@3_qwen3-0.6b,coherence,0.027921235769701257,0.3902629678382993
Sem-nCG@3_qwen3-0.6b,consistency,0.009642986797166882,0.7905545365439133
Sem-nCG@3_qwen3-0.6b,fluency,-0.052833015323713,0.13867301767366388
Sem-nCG@3_qwen3-0.6b,relevance,0.020658729589751765,0.5307048491072747
Sem-nCG@3_qwen3-0.6b_extractive,coherence,-0.01019901626418463,0.8038102431128336
Sem-nCG@3_qwen3-0.6b_extractive,consistency,0.02316469208010862,0.614990074815888
Sem-nCG@3_qwen3-0.6b_extractive,fluency,0.008613700069867525,0.8491777814753001
Sem-nCG@3_qwen3-0.6b_extractive,relevance,0.00920715459988593,0.8248101506825019
Sem-nCG@3_qwen3-0.6b_abstractive,coherence,0.04735408029577865,0.3786254466447213
Sem-nCG@3_qwen3-0.6b_abstractive,consistency,-0.011761712278247164,0.8454774672468719
Sem-nCG@3_qwen3-0.6b_abstractive,fluency,0.023101861826413068,0.6958224910398526
Sem-nCG@3_qwen3-0.6b_abstractive,relevance,0.03994660571362159,0.46545765180768794
Sem-nCG@3_openelm_extractive,coherence,0.02248117639854175,0.5839718048982159
Sem-nCG@3_openelm_extractive,consistency,0.042014482811162275,0.36162958043297044
Sem-nCG@3_openelm_extractive,fluency,-0.024455293264958152,0.5892503183367876
Sem-nCG@3_openelm_extractive,relevance,0.06060540086514973,0.1450771443344503
Sem-nCG@3_gemma-3-1b-it_abstractive,coherence,0.05120112602466291,0.3405189039570756
Sem-nCG@3_gemma-3-1b-it_abstractive,consistency,0.12089722727739767,0.0448805815097738
Sem-nCG@3_gemma-3-1b-it_abstractive,fluency,0.04996975756371214,0.39715067421657224
Sem-nCG@3_gemma-3-1b-it_abstractive,relevance,0.05264035711082711,0.33553709417398503
Sem-nCG@3_simcse_extractive,coherence,0.030475382200815433,0.6921619211204011
Sem-nCG@3_simcse_extractive,consistency,0.012788236141283008,0.8817306489457107
Sem-nCG@3_simcse_extractive,fluency,-0.1426081687163841,0.09228820434703669
Sem-nCG@3_simcse_extractive,relevance,0.004656167665810177,0.952434333552202
Sem-nCG@3_roberta_extractive,coherence,-0.022401906102966728,0.8207700719145704
